Servers, Clients, ReadPct, NumReads, Policy, AvgStale, SDevStale, AvgInconsistent, SDevInconsistent, AvgStaleCounts, SDevStaleCounts, AvgGets, SDevGets, AvgPuts, SDevPuts, 1CAvgStale, 1CSDevStale, 1CAvgInconsistent, 1CSDevInconsistent, 1CAvgStaleCounts, 1CSDevStaleCounts, 1CAvgGets, 1CSDevGets, 1CAvgPuts, 1CSDevPuts
3, 100, 5, 100, round_robin, 65.97000, 0.26419, 61.20000, 1.90693, 485.34010, 511.14250, 25288.65330, 30275.65004, 64813.24167, 18696.24441, 66.00000, 0.00000, 59.00000, 0.00000, 511.31000, 523.63860, 23905.18000, 26814.08162, 63555.95369, 20285.77126
3, 100, 10, 100, round_robin, 62.92000, 0.33874, 54.10000, 2.58003, 239.29140, 268.04448, 28985.11010, 34113.30682, 67950.43173, 24574.10108, 63.00000, 0.00000, 56.00000, 0.00000, 262.42000, 292.29089, 27413.37000, 30563.29007, 69597.66916, 24644.01751
3, 100, 15, 100, round_robin, 61.83000, 0.63652, 49.20000, 3.85861, 155.90740, 181.79558, 31150.75200, 37151.73507, 71285.26196, 28686.07617, 62.00000, 0.00000, 42.00000, 0.00000, 163.15000, 206.23686, 32580.55000, 38542.69509, 73762.95635, 28590.24083
3, 100, 20, 100, round_robin, 65.78000, 0.69019, 47.21000, 4.81222, 121.30410, 136.74611, 29160.96750, 38380.20045, 76658.53577, 33888.59471, 66.00000, 0.00000, 43.00000, 0.00000, 116.46000, 137.00685, 30401.92000, 38483.74978, 81127.24051, 33295.27315
3, 100, 25, 100, round_robin, 64.58000, 0.84303, 42.59000, 4.85360, 90.01290, 103.82638, 31167.42980, 40627.50092, 81419.82539, 37026.55893, 64.00000, 0.00000, 35.00000, 0.00000, 79.63000, 95.71798, 34697.58000, 43413.27705, 86950.81982, 36310.45520
3, 100, 30, 100, round_robin, 63.56000, 0.96735, 37.42000, 5.84683, 71.73490, 86.67425, 34500.59500, 43661.26025, 81968.83481, 38715.33228, 64.00000, 0.00000, 30.00000, 0.00000, 65.37000, 83.99924, 37072.14000, 46967.03607, 87046.55072, 36083.00608
3, 100, 35, 100, round_robin, 65.53000, 1.02942, 33.95000, 6.78438, 57.43140, 67.72742, 33137.41740, 44832.14978, 89932.69001, 42649.31592, 66.00000, 0.00000, 29.00000, 0.00000, 51.25000, 67.92559, 36944.49000, 50243.09684, 100378.42188, 41987.92537
3, 100, 40, 100, round_robin, 65.13000, 1.62465, 30.32000, 6.09666, 48.37640, 57.80422, 35881.30500, 46955.36473, 90655.74149, 43586.91123, 64.00000, 0.00000, 26.00000, 0.00000, 43.57000, 61.02181, 40361.90000, 51343.05500, 99973.30508, 39964.06904
3, 100, 45, 100, round_robin, 64.04000, 1.45588, 26.57000, 6.68067, 39.45150, 48.70414, 38527.62690, 49342.60109, 91822.45417, 45874.95463, 64.00000, 0.00000, 16.00000, 0.00000, 35.11000, 52.41807, 41349.93000, 51464.07121, 100700.36111, 43441.42412
3, 100, 50, 100, round_robin, 64.78000, 1.99788, 24.09000, 6.67741, 32.10750, 39.17970, 37426.91290, 49687.02039, 106174.57180, 45826.90283, 65.00000, 0.00000, 19.00000, 0.00000, 30.16000, 45.81666, 41683.30000, 53114.43858, 92942.85714, 49384.84687
3, 100, 55, 100, round_robin, 64.20000, 2.29184, 21.21000, 6.37751, 26.25350, 33.26892, 38771.67500, 50451.25491, 105926.66051, 46072.25584, 65.00000, 0.00000, 18.00000, 0.00000, 23.04000, 36.22598, 41908.88000, 50904.85640, 133272.63636, 43636.37161
3, 100, 60, 100, round_robin, 63.62000, 2.69598, 18.21000, 5.80368, 21.85430, 28.67232, 41303.09310, 53093.73607, 107545.68787, 47964.49277, 65.00000, 0.00000, 12.00000, 0.00000, 19.77000, 35.31242, 46536.15000, 57503.53799, 129767.51282, 31402.80410
3, 100, 65, 100, round_robin, 63.31000, 2.71805, 16.25000, 5.31887, 17.41870, 22.76765, 42504.61690, 53829.98341, 112034.48962, 48951.60631, 65.00000, 0.00000, 15.00000, 0.00000, 13.49000, 23.49102, 46515.92000, 58190.40971, 134053.88235, 32692.05392
3, 100, 70, 100, round_robin, 62.54000, 3.07620, 14.12000, 4.96102, 13.78410, 18.72433, 44695.17740, 54997.78184, 113237.72333, 50301.71104, 66.00000, 0.00000, 9.00000, 0.00000, 12.73000, 22.04030, 48316.29000, 58697.35613, 133020.20690, 35646.00162
3, 100, 75, 100, round_robin, 60.95000, 4.18602, 11.86000, 3.91067, 10.52560, 15.22073, 46430.05600, 57197.36043, 117485.26561, 55368.40432, 63.00000, 0.00000, 11.00000, 0.00000, 9.51000, 16.42337, 49212.10000, 58515.52678, 136675.45833, 40559.65826
3, 100, 80, 100, round_robin, 60.27000, 4.67284, 9.99000, 3.13177, 8.33880, 13.22447, 47520.66750, 58021.32957, 120862.85592, 51882.39745, 64.00000, 0.00000, 6.00000, 0.00000, 7.23000, 13.44713, 49041.65000, 59823.85053, 137398.05263, 44491.48428
3, 100, 85, 100, round_robin, 57.42000, 4.95674, 7.53000, 2.57594, 4.93560, 8.40830, 49288.12130, 58466.59964, 120484.63010, 48616.36916, 58.00000, 0.00000, 3.00000, 0.00000, 4.61000, 8.29006, 50003.71000, 60228.90560, 138840.57143, 23325.49436
3, 100, 90, 100, round_robin, 44.46000, 6.74113, 3.15000, 1.64762, 1.48670, 2.73331, 50612.58020, 60141.08556, 123711.36276, 54260.16042, 42.00000, 0.00000, 4.00000, 0.00000, 0.97000, 1.51394, 51536.33000, 61567.59460, 131423.11111, 18620.41884
3, 100, 95, 100, round_robin, 4.82000, 2.06158, 0.07000, 0.25643, 0.05090, 0.23176, 54268.80400, 56933.18228, 122488.22014, 48917.71694, 4.00000, 0.00000, 0.00000, 0.00000, 0.04000, 0.19695, 54007.16000, 58323.77709, 112987.25000, 23355.69119
3, 100, 100, 100, round_robin, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 52964.54610, 39951.69849, NaN, NaN, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 53351.81000, 38995.04732, NaN, NaN
