Servers, Clients, ReadPct, NumReads, Policy, AvgStale, SDevStale, AvgInconsistent, SDevInconsistent, AvgStaleCounts, SDevStaleCounts, AvgGets, SDevGets, AvgPuts, SDevPuts, 1CAvgStale, 1CSDevStale, 1CAvgInconsistent, 1CSDevInconsistent, 1CAvgStaleCounts, 1CSDevStaleCounts, 1CAvgGets, 1CSDevGets, 1CAvgPuts, 1CSDevPuts
3, 100, 5, 100, {fixed,even}, 73.88000, 7.15384, 53.23000, 6.29069, 173.10090, 186.48453, 20613.40330, 29347.95237, 69453.26410, 23394.98262, 74.00000, 0.00000, 57.00000, 0.00000, 194.60000, 206.28166, 21834.54000, 28685.54951, 67946.91802, 23815.91792
3, 100, 10, 100, {fixed,even}, 75.55000, 7.19340, 37.16000, 5.60252, 77.31190, 88.63279, 19041.97550, 29706.52281, 74159.24522, 27087.65929, 87.00000, 0.00000, 40.00000, 0.00000, 93.23000, 95.39073, 14308.70000, 22861.06689, 75816.05368, 26678.26945
3, 100, 15, 100, {fixed,even}, 73.67000, 7.46447, 23.61000, 4.50565, 43.30330, 51.24711, 19545.94770, 32116.64124, 78354.26885, 30290.51025, 79.00000, 0.00000, 21.00000, 0.00000, 55.11000, 58.71449, 12309.28000, 19545.17118, 81979.51190, 29878.82579
3, 100, 20, 100, {fixed,even}, 72.10000, 7.99179, 15.91000, 4.11966, 27.12460, 33.49340, 17096.64420, 28582.82796, 81986.20218, 32369.70131, 71.00000, 0.00000, 18.00000, 0.00000, 29.17000, 37.71773, 21691.93000, 38526.76236, 86199.20886, 29752.36319
3, 100, 25, 100, {fixed,even}, 66.07000, 8.45099, 10.29000, 4.07331, 16.48690, 21.81047, 18773.20050, 31010.77002, 84984.59253, 33118.31350, 54.00000, 0.00000, 5.00000, 0.00000, 15.34000, 24.51683, 17815.90000, 25116.12795, 91317.45495, 30529.35897
3, 100, 30, 100, {fixed,even}, 63.08000, 9.84597, 6.39000, 3.13306, 12.23640, 17.18151, 18546.79680, 31141.70834, 85153.18993, 33070.07563, 60.00000, 0.00000, 5.00000, 0.00000, 11.50000, 17.95589, 12538.91000, 18996.33806, 92179.84058, 29562.06450
3, 100, 35, 100, {fixed,even}, 52.57000, 10.40421, 4.93000, 2.86482, 6.87670, 10.82024, 17044.01730, 28511.79054, 89231.92284, 34530.02689, 42.00000, 0.00000, 3.00000, 0.00000, 5.95000, 10.26160, 10637.91000, 17375.32547, 99836.71094, 30762.57679
3, 100, 40, 100, {fixed,even}, 48.17000, 13.04309, 3.44000, 2.59105, 4.74710, 8.35468, 18369.47050, 31160.25381, 89069.40741, 36910.53355, 23.00000, 0.00000, 3.00000, 0.00000, 2.47000, 6.29808, 20758.38000, 32839.98621, 99343.74576, 32878.13178
3, 100, 45, 100, {fixed,even}, 39.47000, 13.76165, 1.69000, 1.51554, 2.76410, 5.52186, 19244.59200, 32062.62564, 91711.13142, 40070.30000, 25.00000, 0.00000, 2.00000, 0.00000, 1.87000, 5.11416, 14035.14000, 24670.06020, 102650.01852, 35468.28428
3, 100, 50, 100, {fixed,even}, 25.76000, 13.50579, 0.46000, 0.71661, 0.52490, 1.19445, 19948.28870, 32040.05041, 99351.78399, 39686.62688, 16.00000, 0.00000, 1.00000, 0.00000, 0.19000, 0.48607, 25322.49000, 36061.44201, 87186.51020, 44506.41424
