Servers, Clients, ReadPct, NumReads, Policy, AvgStale, SDevStale, AvgInconsistent, SDevInconsistent, AvgStaleCounts, SDevStaleCounts, AvgGets, SDevGets, AvgPuts, SDevPuts, 1CAvgStale, 1CSDevStale, 1CAvgInconsistent, 1CSDevInconsistent, 1CAvgStaleCounts, 1CSDevStaleCounts, 1CAvgGets, 1CSDevGets, 1CAvgPuts, 1CSDevPuts
3, 100, 5, 100, {fixed,global}, 0.00000, 0.00000, 0.00000, 0.00000, -0.00030, 0.01732, 67761.22220, 21295.88780, 68022.19303, 21149.59547, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 64721.09000, 13646.32386, 66700.13141, 20686.57704
3, 100, 10, 100, {fixed,global}, 0.00000, 0.00000, 0.00000, 0.00000, -0.00010, 0.01000, 71506.27490, 22547.79993, 69683.10149, 21455.52918, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 69567.60000, 10840.98937, 71353.95880, 21896.06205
3, 100, 15, 100, {fixed,global}, 0.00000, 0.00000, 0.00000, 0.00000, -0.00040, 0.02000, 73185.57120, 23710.70584, 71734.09301, 23030.17554, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 71871.65000, 15779.51900, 74373.10913, 22942.62823
3, 100, 20, 100, {fixed,global}, 0.00000, 0.00000, 0.00000, 0.00000, -0.00020, 0.01414, 73851.90730, 26625.93463, 75637.95982, 24164.41223, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 78588.27000, 23354.19444, 78529.88924, 22167.75677
3, 100, 25, 100, {fixed,global}, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 75051.02350, 26266.17515, 78248.52687, 23056.20814, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 80456.68000, 24150.98493, 81139.03604, 18931.28917
3, 100, 30, 100, {fixed,global}, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 79700.08260, 23559.91066, 77305.98977, 24440.75833, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 82156.18000, 22730.80558, 81623.45411, 20716.86437
3, 100, 35, 100, {fixed,global}, 0.00000, 0.00000, 0.00000, 0.00000, -0.00030, 0.01732, 78407.22350, 26479.57880, 82484.85495, 22683.49488, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 86015.65000, 20564.63221, 86028.78125, 19198.04144
3, 100, 40, 100, {fixed,global}, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 81339.39480, 25927.19977, 81729.62403, 24605.43924, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 85532.22000, 23014.76266, 87590.16102, 19528.62854
3, 100, 45, 100, {fixed,global}, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 84725.14900, 23394.18356, 80405.04262, 26339.60743, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 88136.26000, 20784.52654, 86324.57407, 18567.39137
3, 100, 50, 100, {fixed,global}, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 83600.24650, 24227.25874, 89235.14493, 20731.83939, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 89090.56000, 20676.27360, 77655.69388, 27470.23625
3, 100, 55, 100, {fixed,global}, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 84849.74230, 24452.89165, 88723.76382, 21657.91593, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 90751.24000, 22354.92515, 95382.56818, 13877.36205
3, 100, 60, 100, {fixed,global}, 0.01000, 0.10000, 0.00000, 0.00000, 0.00010, 0.01000, 85521.38820, 23553.38610, 87773.32313, 20838.85430, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 92272.30000, 21189.80801, 92049.05128, 8550.14281
3, 100, 65, 100, {fixed,global}, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 87336.24740, 25150.80058, 87984.57401, 23741.04433, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 92236.57000, 24677.27198, 93161.05882, 9093.27368
3, 100, 70, 100, {fixed,global}, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 89239.28050, 23590.73918, 88191.40382, 24254.23710, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 93335.66000, 21782.38598, 94897.72414, 11311.26838
3, 100, 75, 100, {fixed,global}, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 89958.42260, 23925.42709, 89199.74021, 23864.05652, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 93326.74000, 22107.03725, 93214.62500, 7908.78778
3, 100, 80, 100, {fixed,global}, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 90856.93470, 23785.37963, 90012.35735, 24889.20259, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 92691.94000, 24441.08652, 92985.94737, 5811.50190
3, 100, 85, 100, {fixed,global}, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 92150.92270, 22036.50989, 91246.70075, 25081.41321, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 93162.95000, 23595.14347, 92356.21429, 3179.23177
3, 100, 90, 100, {fixed,global}, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 92766.69300, 19687.17318, 90350.38580, 26556.23443, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 92346.97000, 22168.42958, 95548.66667, 4822.97965
3, 100, 95, 100, {fixed,global}, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 92659.11790, 18253.18485, 92214.30913, 22237.39597, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 92281.99000, 19820.70280, 94309.25000, 2660.96341
3, 100, 100, 100, {fixed,global}, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 93951.19560, 19567.53774, NaN, NaN, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 93924.59000, 21603.51364, NaN, NaN
