Servers, Clients, ReadPct, NumReads, Policy, AvgStale, SDevStale, AvgInconsistent, SDevInconsistent, AvgStaleCounts, SDevStaleCounts, AvgGets, SDevGets, AvgPuts, SDevPuts, 1CAvgStale, 1CSDevStale, 1CAvgInconsistent, 1CSDevInconsistent, 1CAvgStaleCounts, 1CSDevStaleCounts, 1CAvgGets, 1CSDevGets, 1CAvgPuts, 1CSDevPuts
3, 100, 5, 100, min_delay, 96.11000, 2.31331, 75.57000, 2.94480, 273.25650, 210.73247, 5628.43630, 3073.57870, 65802.94888, 21796.94579, 98.00000, 0.00000, 79.00000, 0.00000, 307.69000, 222.49847, 6019.93000, 5650.77362, 64370.24781, 21954.36192
3, 100, 10, 100, min_delay, 92.85000, 3.78561, 54.89000, 4.85527, 130.12870, 114.24019, 5903.24450, 5040.74182, 69361.53694, 25715.50101, 94.00000, 0.00000, 61.00000, 0.00000, 155.13000, 129.97246, 7159.37000, 12062.83843, 70729.63421, 24694.80726
3, 100, 15, 100, min_delay, 89.26000, 4.92288, 39.66000, 5.09747, 78.21950, 75.19959, 6125.42660, 4063.78729, 71999.87278, 29148.57237, 91.00000, 0.00000, 38.00000, 0.00000, 94.81000, 90.65037, 6701.98000, 4173.94984, 74621.09722, 28884.83820
3, 100, 20, 100, min_delay, 85.61000, 5.76982, 28.04000, 5.64420, 50.66020, 53.60995, 6590.06800, 5338.30114, 76395.53798, 32607.51519, 84.00000, 0.00000, 22.00000, 0.00000, 57.56000, 60.01722, 7767.81000, 7493.89336, 81249.81962, 31831.31845
3, 100, 25, 100, min_delay, 81.05000, 6.92000, 18.88000, 5.73362, 33.28070, 37.50528, 7318.60450, 6471.23918, 80931.65067, 37249.92478, 78.00000, 0.00000, 7.00000, 0.00000, 36.97000, 45.78330, 9996.62000, 9102.04217, 87293.42793, 34588.64753
3, 100, 30, 100, min_delay, 76.69000, 6.68889, 12.21000, 4.34217, 23.58360, 29.93876, 7678.45310, 8086.53545, 81840.59514, 38550.43950, 77.00000, 0.00000, 6.00000, 0.00000, 21.41000, 31.98645, 13146.32000, 28150.28348, 86769.41063, 35004.26973
3, 100, 35, 100, min_delay, 65.62000, 7.43562, 8.63000, 4.69398, 13.38070, 18.57235, 8773.04880, 8055.32391, 87591.66018, 40484.36644, 48.00000, 0.00000, 3.00000, 0.00000, 10.15000, 16.78827, 12459.77000, 7395.99541, 99630.39063, 36324.70710
3, 100, 40, 100, min_delay, 56.94000, 12.19274, 5.51000, 3.64178, 8.80370, 13.79287, 9475.92130, 8976.67668, 89371.84905, 39811.96994, 36.00000, 0.00000, 3.00000, 0.00000, 6.52000, 13.71682, 14675.42000, 10165.22630, 99496.97458, 36223.54880
3, 100, 45, 100, min_delay, 48.01000, 15.25440, 2.95000, 2.29789, 5.06630, 9.55431, 11048.80800, 11716.99313, 90308.14022, 39287.41247, 36.00000, 0.00000, 5.00000, 0.00000, 2.74000, 8.42989, 17532.83000, 20610.77822, 99085.39815, 33936.38255
3, 100, 50, 100, min_delay, 35.99000, 14.05005, 0.91000, 1.34160, 1.19560, 2.52570, 14607.83200, 13498.97557, 97088.49186, 45116.44971, 29.00000, 0.00000, 0.00000, 0.00000, 0.44000, 1.31287, 22761.23000, 25101.06406, 81200.14286, 52526.88489
3, 100, 55, 100, min_delay, 27.34000, 12.39845, 0.23000, 0.54781, 0.51160, 1.15100, 16876.93900, 14037.64324, 96290.16147, 42291.23124, 10.00000, 0.00000, 0.00000, 0.00000, 0.12000, 0.40899, 29538.07000, 27152.71773, 120043.59091, 29063.16736
3, 100, 60, 100, min_delay, 17.59000, 8.14030, 0.01000, 0.10000, 0.23450, 0.60560, 18545.18270, 15864.55107, 95616.65583, 37400.95618, 13.00000, 0.00000, 0.00000, 0.00000, 0.13000, 0.33800, 25473.12000, 19795.84819, 121847.38462, 22039.88048
3, 100, 65, 100, min_delay, 15.40000, 5.50482, 0.02000, 0.14071, 0.18270, 0.47702, 23452.98400, 17782.15824, 86354.90627, 29741.29410, 11.00000, 0.00000, 0.00000, 0.00000, 0.12000, 0.35619, 26963.04000, 20337.43676, 104068.85294, 20719.53393
3, 100, 70, 100, min_delay, 14.89000, 4.13630, 0.01000, 0.10000, 0.20050, 0.62781, 42978.09070, 18826.92606, 51084.21938, 19574.91711, 9.00000, 0.00000, 0.00000, 0.00000, 0.12000, 0.43298, 43819.09000, 16935.79975, 56406.82759, 15480.91451
3, 100, 75, 100, min_delay, 10.87000, 4.20835, 0.00000, 0.00000, 0.12980, 0.41179, 45298.55470, 18059.90838, 48971.85373, 16606.72504, 17.00000, 0.00000, 0.00000, 0.00000, 0.20000, 0.49237, 44769.01000, 16610.46629, 52876.41667, 15337.81326
3, 100, 80, 100, min_delay, 7.88000, 3.12785, 0.00000, 0.00000, 0.09090, 0.33801, 47720.07700, 22161.99840, 46908.31787, 18582.53056, 9.00000, 0.00000, 0.00000, 0.00000, 0.10000, 0.33333, 45480.29000, 20341.86027, 53107.36842, 18779.97631
3, 100, 85, 100, min_delay, 5.37000, 2.55705, 0.00000, 0.00000, 0.05690, 0.24550, 49225.06610, 20340.23006, 45595.23665, 20007.17416, 4.00000, 0.00000, 0.00000, 0.00000, 0.04000, 0.19695, 49253.06000, 20105.34887, 57900.00000, 13097.53005
3, 100, 90, 100, min_delay, 3.24000, 2.21163, 0.00000, 0.00000, 0.03300, 0.18197, 50130.62900, 21115.95867, 45656.95873, 21650.51696, 2.00000, 0.00000, 0.00000, 0.00000, 0.02000, 0.14071, 48909.40000, 18269.39931, 54068.44444, 21702.85228
3, 100, 95, 100, min_delay, 1.44000, 1.13101, 0.00000, 0.00000, 0.01460, 0.12243, 50210.50490, 23006.44218, 47770.96019, 19939.23692, 3.00000, 0.00000, 0.00000, 0.00000, 0.03000, 0.17145, 50080.08000, 22876.20904, 43479.00000, 6721.72106
3, 100, 100, 100, min_delay, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 50051.41030, 20506.65847, NaN, NaN, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 47722.49000, 18270.60046, NaN, NaN
