Servers, Clients, ReadPct, NumReads, Policy, AvgStale, SDevStale, AvgInconsistent, SDevInconsistent, AvgStaleCounts, SDevStaleCounts, AvgGets, SDevGets, AvgPuts, SDevPuts, 1CAvgStale, 1CSDevStale, 1CAvgInconsistent, 1CSDevInconsistent, 1CAvgStaleCounts, 1CSDevStaleCounts, 1CAvgGets, 1CSDevGets, 1CAvgPuts, 1CSDevPuts
3, 100, 5, 100, {random,1}, 64.08000, 4.55423, 48.88000, 4.71679, 170.76090, 203.08888, 25803.02210, 30639.89442, 66387.13291, 21717.46339, 59.00000, 0.00000, 40.00000, 0.00000, 152.14000, 199.71894, 27252.11000, 28675.93858, 64970.46809, 23190.51874
3, 100, 10, 100, {random,1}, 61.76000, 3.96734, 33.50000, 4.21278, 75.92090, 100.24365, 27471.70010, 33958.32592, 69208.16638, 25407.10632, 62.00000, 0.00000, 35.00000, 0.00000, 99.72000, 131.90945, 23667.96000, 27338.89863, 71031.19975, 26242.12438
3, 100, 15, 100, {random,1}, 58.88000, 4.04590, 21.63000, 4.10138, 41.31740, 59.23695, 28602.69030, 35374.51443, 72448.59315, 28094.32655, 63.00000, 0.00000, 20.00000, 0.00000, 48.60000, 61.50142, 21752.97000, 27665.29605, 75501.43849, 28794.79703
3, 100, 20, 100, {random,1}, 55.88000, 5.43145, 14.70000, 4.05642, 24.71870, 37.56941, 28753.11160, 37052.90202, 76458.87830, 31657.70501, 55.00000, 0.00000, 14.00000, 0.00000, 25.74000, 38.25318, 29133.60000, 34979.31576, 81009.22152, 31313.96226
3, 100, 25, 100, {random,1}, 50.46000, 5.92788, 9.32000, 3.60942, 14.50900, 24.01313, 29921.30910, 38408.90073, 78743.63893, 32426.13757, 51.00000, 0.00000, 8.00000, 0.00000, 13.70000, 21.58727, 24031.96000, 31243.67391, 86507.87387, 32095.37238
3, 100, 30, 100, {random,1}, 45.84000, 7.11765, 5.07000, 2.87537, 9.00440, 16.32838, 31843.88550, 39259.90848, 77272.19965, 32564.47153, 46.00000, 0.00000, 3.00000, 0.00000, 9.66000, 15.94512, 26394.06000, 35370.86685, 84862.18357, 30169.59183
3, 100, 35, 100, {random,1}, 39.59000, 8.17003, 3.20000, 2.29184, 3.88330, 7.42882, 31137.48410, 39886.10377, 83056.78748, 34815.36846, 31.00000, 0.00000, 1.00000, 0.00000, 3.57000, 7.37900, 28733.26000, 36172.35502, 93351.75000, 35934.98862
3, 100, 40, 100, {random,1}, 32.87000, 9.68458, 1.69000, 1.48864, 2.33140, 5.11146, 31793.28240, 39763.19388, 82129.10544, 33231.46501, 30.00000, 0.00000, 0.00000, 0.00000, 1.44000, 3.23903, 28657.17000, 36153.17197, 93997.16102, 30215.10805
3, 100, 45, 100, {random,1}, 26.74000, 9.98445, 0.90000, 0.91563, 1.31700, 3.21016, 33958.21010, 42238.06708, 83298.44892, 35988.53116, 19.00000, 0.00000, 1.00000, 0.00000, 0.72000, 2.10857, 32458.01000, 42413.36411, 94304.65741, 29640.35583
3, 100, 50, 100, {random,1}, 9.18000, 5.46870, 0.06000, 0.27780, 0.11460, 0.40507, 33705.35770, 45707.26521, 98330.30385, 40696.29460, 7.00000, 0.00000, 0.00000, 0.00000, 0.07000, 0.25643, 42058.09000, 50102.24103, 82653.25510, 44762.89167
3, 100, 55, 100, {random,1}, 7.78000, 3.72971, 0.00000, 0.00000, 0.08770, 0.32190, 34803.97310, 45192.71660, 97719.21128, 39248.65034, 4.00000, 0.00000, 0.00000, 0.00000, 0.04000, 0.19695, 39437.90000, 49003.64286, 118126.81818, 37392.77231
3, 100, 60, 100, {random,1}, 7.61000, 3.39309, 0.02000, 0.14071, 0.08680, 0.32323, 36223.33830, 47119.89984, 97267.83883, 43188.75012, 11.00000, 0.00000, 0.00000, 0.00000, 0.11000, 0.31447, 36751.82000, 46016.22118, 122000.17949, 37637.33499
3, 100, 65, 100, {random,1}, 8.84000, 3.30509, 0.00000, 0.00000, 0.09990, 0.33960, 34788.49750, 44707.74211, 90497.09583, 41900.96461, 9.00000, 0.00000, 0.00000, 0.00000, 0.09000, 0.28762, 31271.64000, 38789.23117, 120867.50000, 37349.19225
3, 100, 70, 100, {random,1}, 6.48000, 2.61109, 0.01000, 0.10000, 0.06980, 0.27665, 39989.32510, 50516.87007, 100214.47694, 45005.95205, 10.00000, 0.00000, 0.00000, 0.00000, 0.11000, 0.34510, 41959.32000, 55957.15226, 115354.10345, 20843.42280
3, 100, 75, 100, {random,1}, 5.88000, 2.30625, 0.00000, 0.00000, 0.06510, 0.27581, 41363.63850, 51817.88674, 103210.95288, 48599.36042, 11.00000, 0.00000, 0.00000, 0.00000, 0.11000, 0.31447, 44946.22000, 56563.93413, 112775.95833, 28186.75904
3, 100, 80, 100, {random,1}, 5.29000, 2.33245, 0.00000, 0.00000, 0.05770, 0.25451, 42065.08620, 50958.24763, 102951.60521, 47174.51614, 6.00000, 0.00000, 0.00000, 0.00000, 0.08000, 0.33874, 42597.48000, 52900.52761, 114784.52632, 26374.07978
3, 100, 85, 100, {random,1}, 4.93000, 2.01136, 0.00000, 0.00000, 0.05240, 0.23635, 41328.19600, 47026.22804, 94000.17691, 43183.98059, 4.00000, 0.00000, 0.00000, 0.00000, 0.04000, 0.19695, 45305.90000, 46947.18308, 110409.42857, 34870.55946
3, 100, 90, 100, {random,1}, 3.68000, 1.80280, 0.01000, 0.10000, 0.03970, 0.20959, 41976.72540, 45682.65888, 83327.08925, 44533.00235, 2.00000, 0.00000, 0.00000, 0.00000, 0.03000, 0.22270, 44409.97000, 47732.63879, 105277.88889, 16357.17114
3, 100, 95, 100, {random,1}, 2.00000, 1.51090, 0.00000, 0.00000, 0.02060, 0.14621, 45466.84880, 43814.31785, 65580.99297, 50417.53708, 1.00000, 0.00000, 0.00000, 0.00000, 0.01000, 0.10000, 51114.08000, 45126.17334, 24830.00000, 5554.59419
3, 100, 100, 100, {random,1}, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 50219.38560, 52746.97322, NaN, NaN, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 52958.67000, 53911.43299, NaN, NaN
