Servers, Clients, ReadPct, NumReads, Policy, AvgStale, SDevStale, AvgInconsistent, SDevInconsistent, AvgStaleCounts, SDevStaleCounts, AvgGets, SDevGets, AvgPuts, SDevPuts, 1CAvgStale, 1CSDevStale, 1CAvgInconsistent, 1CSDevInconsistent, 1CAvgStaleCounts, 1CSDevStaleCounts, 1CAvgGets, 1CSDevGets, 1CAvgPuts, 1CSDevPuts
3, 100, 5, 100, round_robin, 63.34000, 1.51237, 48.56000, 2.69050, 167.90960, 203.24439, 25941.20130, 31130.61447, 66171.19207, 21085.94508, 65.00000, 0.00000, 51.00000, 0.00000, 197.00000, 222.71398, 24743.80000, 27738.92637, 64858.09324, 22325.42178
3, 100, 10, 100, round_robin, 57.91000, 2.37876, 32.03000, 3.48577, 70.29330, 97.66422, 29358.46540, 34443.71932, 68921.46338, 24221.90627, 59.00000, 0.00000, 28.00000, 0.00000, 79.03000, 111.74090, 28723.26000, 31675.95684, 70527.11610, 24339.75145
3, 100, 15, 100, round_robin, 53.06000, 2.77369, 20.56000, 3.72629, 36.72690, 56.33329, 31053.54670, 35803.84463, 71651.73152, 26495.85469, 50.00000, 0.00000, 20.00000, 0.00000, 47.68000, 75.79063, 33479.52000, 37111.31478, 73724.69841, 24661.05319
3, 100, 20, 100, round_robin, 52.53000, 4.65248, 13.47000, 4.00619, 23.35680, 37.11355, 28956.05490, 36260.33228, 76100.19888, 28240.92239, 47.00000, 0.00000, 17.00000, 0.00000, 26.01000, 47.93567, 30476.41000, 36473.04427, 80255.27532, 27233.84985
3, 100, 25, 100, round_robin, 46.84000, 5.31953, 8.79000, 3.10195, 13.38930, 23.19233, 30735.97940, 38387.00348, 79781.89910, 29837.05423, 37.00000, 0.00000, 6.00000, 0.00000, 12.58000, 24.66060, 33688.53000, 40000.04254, 84845.37387, 27143.54635
3, 100, 30, 100, round_robin, 40.74000, 6.74143, 4.40000, 2.30940, 7.57190, 14.47285, 33480.28660, 39870.61520, 79622.90276, 30164.53928, 32.00000, 0.00000, 4.00000, 0.00000, 7.53000, 17.88711, 35330.73000, 41559.12656, 84792.49758, 27904.99407
3, 100, 35, 100, round_robin, 36.87000, 7.15719, 2.92000, 1.85690, 3.37170, 6.66657, 31508.78880, 39408.70388, 85509.33890, 29912.53580, 24.00000, 0.00000, 2.00000, 0.00000, 2.00000, 4.27348, 35048.31000, 41785.64380, 93363.39063, 25835.55624
3, 100, 40, 100, round_robin, 31.48000, 8.30538, 1.75000, 1.49325, 2.06370, 4.66041, 33238.64170, 40709.33947, 85085.95367, 31766.02039, 22.00000, 0.00000, 1.00000, 0.00000, 1.16000, 2.98725, 35224.16000, 42213.67448, 94069.07627, 26831.48585
3, 100, 45, 100, round_robin, 24.15000, 9.51381, 0.81000, 0.98160, 0.82760, 2.22876, 36317.92020, 43173.93853, 86258.84055, 33217.00214, 13.00000, 0.00000, 0.00000, 0.00000, 0.39000, 1.29408, 36950.95000, 42166.61170, 95806.29630, 27074.72096
3, 100, 50, 100, round_robin, 6.89000, 2.99796, 0.01000, 0.10000, 0.07610, 0.29380, 34140.50550, 42157.90446, 96756.70165, 29532.42143, 10.00000, 0.00000, 0.00000, 0.00000, 0.11000, 0.34510, 36099.11000, 41973.77259, 87415.62245, 36358.47073
3, 100, 55, 100, round_robin, 6.71000, 3.07908, 0.02000, 0.14071, 0.07460, 0.29265, 35659.79640, 42620.35070, 94859.08073, 28647.01077, 8.00000, 0.00000, 0.00000, 0.00000, 0.08000, 0.27266, 36985.05000, 42862.03111, 111631.61364, 24299.86304
3, 100, 60, 100, round_robin, 6.01000, 2.92842, 0.01000, 0.10000, 0.06550, 0.27169, 36925.19480, 44305.71386, 95053.42946, 30916.99858, 7.00000, 0.00000, 0.00000, 0.00000, 0.08000, 0.30748, 39307.70000, 44714.73387, 112216.48718, 23550.14346
3, 100, 65, 100, round_robin, 5.21000, 2.49563, 0.01000, 0.10000, 0.05600, 0.24874, 38079.87420, 45106.68434, 96186.31835, 29881.55955, 6.00000, 0.00000, 0.00000, 0.00000, 0.06000, 0.23868, 40549.82000, 45708.17084, 113250.47059, 25161.23535
3, 100, 70, 100, round_robin, 5.36000, 2.35496, 0.00000, 0.00000, 0.05840, 0.25845, 39349.25160, 46697.39404, 96343.17163, 32038.29331, 5.00000, 0.00000, 0.00000, 0.00000, 0.06000, 0.27780, 39708.95000, 45241.43903, 115941.93103, 29402.07536
3, 100, 75, 100, round_robin, 4.77000, 2.20126, 0.01000, 0.10000, 0.05020, 0.23127, 40637.62940, 47363.12350, 96742.63556, 32862.46243, 2.00000, 0.00000, 0.00000, 0.00000, 0.02000, 0.14071, 41797.50000, 47807.22035, 113611.29167, 27909.81569
3, 100, 80, 100, round_robin, 4.00000, 1.99494, 0.00000, 0.00000, 0.04240, 0.21309, 41188.74150, 46925.01023, 98057.17786, 31484.90399, 4.00000, 0.00000, 0.00000, 0.00000, 0.05000, 0.26112, 42440.82000, 46146.51291, 111162.42105, 26433.42055
3, 100, 85, 100, round_robin, 3.05000, 1.85524, 0.02000, 0.14071, 0.03230, 0.18831, 41179.62320, 44976.72820, 94867.60080, 29508.72839, 5.00000, 0.00000, 0.00000, 0.00000, 0.05000, 0.21904, 40748.36000, 42406.02756, 110849.07143, 23124.03926
3, 100, 90, 100, round_robin, 2.51000, 1.59858, 0.00000, 0.00000, 0.02580, 0.16290, 42124.15700, 45291.96113, 96490.34741, 28022.23333, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 42009.06000, 44570.35437, 111416.55556, 27760.03281
3, 100, 95, 100, round_robin, 1.34000, 1.11210, 0.00000, 0.00000, 0.01360, 0.11754, 41052.26250, 39806.05752, 91008.70492, 21853.17072, 2.00000, 0.00000, 0.00000, 0.00000, 0.02000, 0.14071, 41006.40000, 39077.52504, 82500.00000, 6318.95165
3, 100, 100, 100, round_robin, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 40997.04510, 32012.78596, NaN, NaN, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 40274.50000, 30569.29458, NaN, NaN
